Brigade,Destination,Time
1,Torwar,05:06:00
3,Torwar,05:36:00
4,Torwar,06:07:00
6,Torwar,06:25:00
08,Torwar,06:43:00
1,Torwar,06:58:00
2,Torwar,07:14:00
3,Torwar,07:29:00
07,Torwar,07:44:00
4,Torwar,07:59:00
5,Torwar,08:14:00
6,Torwar,08:29:00
08,Torwar,08:44:00
1,Torwar,08:59:00
2,Torwar,09:13:00
3,Torwar,09:28:00
07,Torwar,09:43:00
4,Torwar,09:58:00
5,Torwar,10:18:00
6,Torwar,10:38:00
1,Torwar,10:58:00
2,Torwar,11:18:00
3,Torwar,11:38:00
4,Torwar,11:58:00
5,Torwar,12:18:00
6,Torwar,12:38:00
1,Torwar,12:58:00
2,Torwar,13:18:00
3,Torwar,13:38:00
4,Torwar,13:58:00
5,Torwar,14:18:00
6,Torwar,14:38:00
1,Torwar,14:58:00
2,Torwar,15:15:00
3,Torwar,15:30:00
4,Torwar,15:45:00
07,Torwar,16:00:00
5,Torwar,16:15:00
6,Torwar,16:30:00
08,Torwar,16:45:00
1,Torwar,17:00:00
2,Torwar,17:15:00
3,Torwar,17:30:00
4,Torwar,17:45:00
07,Torwar,18:00:00
5,Torwar,18:15:00
6,Torwar,18:30:00
08,Torwar,18:45:00
1,Torwar,19:03:00
2,Torwar,19:23:00
3,Torwar,19:43:00
4,Torwar,20:02:00
5,Torwar,20:22:00
6,Torwar,20:42:00
1,Torwar,21:02:00
2,Torwar,21:21:00
3,Torwar,21:41:00
4,Torwar,22:06:00
6,Torwar,22:36:00
2,Centrum,23:06:00
3,Centrum,23:36:00
