Brigade,Destination,Time
1,Torwar,04:52:00
3,Torwar,05:22:00
4,Torwar,05:52:00
6,Torwar,06:10:00
08,Torwar,06:27:00
1,Torwar,06:42:00
2,Torwar,06:57:00
3,Torwar,07:12:00
07,Torwar,07:27:00
4,Torwar,07:42:00
5,Torwar,07:57:00
6,Torwar,08:12:00
08,Torwar,08:27:00
1,Torwar,08:42:00
2,Torwar,08:57:00
3,Torwar,09:12:00
07,Torwar,09:27:00
4,Torwar,09:42:00
5,Torwar,10:02:00
6,Torwar,10:22:00
1,Torwar,10:42:00
2,Torwar,11:02:00
3,Torwar,11:22:00
4,Torwar,11:42:00
5,Torwar,12:02:00
6,Torwar,12:22:00
1,Torwar,12:42:00
2,Torwar,13:02:00
3,Torwar,13:22:00
4,Torwar,13:42:00
5,Torwar,14:02:00
6,Torwar,14:22:00
1,Torwar,14:42:00
2,Torwar,14:59:00
3,Torwar,15:14:00
4,Torwar,15:29:00
07,Torwar,15:44:00
5,Torwar,15:59:00
6,Torwar,16:14:00
08,Torwar,16:29:00
1,Torwar,16:44:00
2,Torwar,16:59:00
3,Torwar,17:14:00
4,Torwar,17:29:00
07,Torwar,17:44:00
5,Torwar,17:59:00
6,Torwar,18:14:00
08,Torwar,18:29:00
1,Torwar,18:47:00
2,Torwar,19:07:00
3,Torwar,19:27:00
4,Torwar,19:47:00
5,Torwar,20:07:00
6,Torwar,20:27:00
1,Torwar,20:47:00
2,Torwar,21:07:00
3,Torwar,21:27:00
4,Torwar,21:52:00
6,Torwar,22:22:00
2,Centrum,22:52:00
3,Centrum,23:22:00
