ID,Number,Latitude,Longitude,Destination,Validity
1012,03,52.287093,21.005765,Budzińskiej-Tylickiej,2020-10-12 00:00:00.0
1012,04,52.286796,21.006136,Żerań FSO,2020-10-12 00:00:00.0
1013,01,52.289797,21.003259,Dyrekcja FSO,2020-10-12 00:00:00.0
1013,02,52.293770,20.999712,Kanał Żerański,2020-10-12 00:00:00.0
1013,03,52.290679,21.002777,most Grota-Roweckiego,2020-10-12 00:00:00.0
1013,04,52.290331,21.003379,PKP Toruńska,2020-10-12 00:00:00.0
1013,05,52.290408,21.002175,Dyrekcja FSO,2020-10-12 00:00:00.0
1013,06,52.290496,21.002229,Dyrekcja FSO,2020-10-12 00:00:00.0
1013,07,52.290526,21.002311,null,2020-10-12 00:00:00.0
1013,08,52.290052,21.002401,Dyrekcja FSO,2020-10-12 00:00:00.0
1013,09,52.291140,21.000905,Kanał Żerański,2020-10-12 00:00:00.0
1013,10,52.291224,21.000818,Kanał Żerański,2020-10-12 00:00:00.0
1013,11,52.291324,21.000759,Marywilska,2020-10-12 00:00:00.0
1013,12,52.291396,21.000301,PKP Toruńska,2020-10-12 00:00:00.0
1013,13,52.291486,21.000238,PKP Toruńska,2020-10-12 00:00:00.0
1013,14,52.291485,21.001030,______________________________,2020-10-12 00:00:00.0
1014,01,52.295347,20.997471,Żerań FSO,2020-10-12 00:00:00.0
1015,01,52.299240,20.993479,EC Żerań,2020-10-12 00:00:00.0
1015,02,52.299600,20.993488,Konwaliowa,2020-10-12 00:00:00.0
1016,01,52.302715,20.989802,Kanał Żerański,2020-10-12 00:00:00.0
1016,02,52.304190,20.988688,Płochocińska,2020-10-12 00:00:00.0
1016,03,52.303160,20.988337,Klembowska,2020-10-12 00:00:00.0
1017,01,52.307248,20.983925,Konwaliowa,2020-10-12 00:00:00.0
1017,02,52.308804,20.982744,Ekspresowa,2020-10-12 00:00:00.0
1017,04,52.308290,20.984730,Wartka,2020-10-12 00:00:00.0
1018,01,52.311634,20.978492,Płochocińska,2020-10-12 00:00:00.0
1018,02,52.313136,20.977930,Obrazkowa,2020-10-12 00:00:00.0
1018,04,52.312714,20.979399,Polfa,2020-10-12 00:00:00.0
1019,01,52.315476,20.975587,Ekspresowa,2020-10-12 00:00:00.0
1019,02,52.317148,20.975301,Białołęka-Ratusz,2020-10-12 00:00:00.0
1019,03,52.315760,20.973115,Świderska,2020-10-12 00:00:00.0
1020,01,52.320610,20.972121,Obrazkowa,2020-10-12 00:00:00.0
1020,02,52.321859,20.971791,Braci Zawadzkich,2020-10-12 00:00:00.0
1020,03,52.320584,20.970690,Milenijna,2020-10-12 00:00:00.0
1021,01,52.326982,20.967982,Braci Zawadzkich,2020-10-12 00:00:00.0
1021,02,52.327786,20.968033,Klasyków,2020-10-12 00:00:00.0
1022,01,52.330805,20.965765,Drogowa,2020-10-12 00:00:00.0
1022,02,52.332124,20.965189,Henryków,2020-10-12 00:00:00.0
1022,04,52.331801,20.966780,Krokwi,2020-10-12 00:00:00.0
1022,52,52.332662,20.964473,null,2020-10-12 00:00:00.0
1023,01,52.334167,20.962165,Klasyków,2020-10-12 00:00:00.0
1023,02,52.335592,20.961119,Winnica,2020-10-12 00:00:00.0
1023,03,52.333901,20.960209,Chęcińska,2020-10-12 00:00:00.0
1023,04,52.335386,20.962403,Czeremchowa,2020-10-12 00:00:00.0
1024,01,52.337473,20.958266,Henryków,2020-10-12 00:00:00.0
1024,02,52.338710,20.957452,Poetów,2020-10-12 00:00:00.0
1025,01,52.343160,20.951680,Winnica,2020-10-12 00:00:00.0
1025,02,52.344138,20.951419,Dąbrówka Szlachecka,2020-10-12 00:00:00.0
1025,04,52.343810,20.952118,Animuszu,2020-10-12 00:00:00.0
1025,04,52.343828,20.952386,Animuszu,2021-02-05 00:00:00.0
1026,01,52.346283,20.949042,Henryków,2020-10-12 00:00:00.0
1026,02,52.347733,20.948461,Aluzyjna,2020-10-12 00:00:00.0
1027,01,52.355420,20.941415,Aluzyjna,2020-10-12 00:00:00.0
1027,02,52.356470,20.940964,Buchnik,2020-10-12 00:00:00.0
1027,03,52.355433,20.939958,null,2020-10-12 00:00:00.0
1027,04,52.356339,20.941323,Dębowa,2020-10-12 00:00:00.0
1028,01,52.252780,21.049991,Targowa,2020-10-12 00:00:00.0
1028,02,52.252937,21.050619,Zajezdnia Praga,2020-10-12 00:00:00.0
1028,02,52.252980,21.050758,Zajezdnia Praga,2020-11-19 00:00:00.0
1028,02,52.252981,21.050758,Zajezdnia Praga,2020-12-09 00:00:00.0
1028,03,52.252881,21.052101,Ząbkowska,2020-10-12 00:00:00.0
1028,04,52.252766,21.051751,Ząbkowska,2020-10-12 00:00:00.0
1028,05,52.252538,21.051028,Ząbkowska,2020-10-12 00:00:00.0
1028,06,52.252956,21.052035,Kijowska,2020-10-12 00:00:00.0
1028,07,52.252847,21.051689,Ząbkowska,2020-10-12 00:00:00.0
1028,08,52.253126,21.051878,______________________________,2020-10-12 00:00:00.0
1028,09,52.253024,21.051529,______________________________,2020-10-12 00:00:00.0
1028,10,52.252804,21.050848,______________________________,2020-10-12 00:00:00.0
1028,11,52.253025,21.050033,Targowa,2020-10-12 00:00:00.0
1028,12,52.253030,21.052550,______________________________,2020-10-12 00:00:00.0
1028,13,52.252387,21.050526,______________________________,2020-10-12 00:00:00.0
1028,15,52.252829,21.049945,Targowa,2020-10-12 00:00:00.0
1028,16,52.254257,21.055520,Młyn Michla,2020-10-12 00:00:00.0
1028,71,52.254081,21.054371,______________________________,2020-10-12 00:00:00.0
1029,01,52.256488,21.053229,Dw.Wschodni (Kijowska),2020-10-12 00:00:00.0
1029,02,52.256047,21.052793,Wojnicka,2020-10-12 00:00:00.0
1030,01,52.257407,21.056336,Zajezdnia Praga,2020-10-12 00:00:00.0
1030,02,52.257021,21.055144,Kawęczyńska-Bazylika,2020-10-12 00:00:00.0
1031,01,52.258274,21.059237,Wojnicka,2020-10-12 00:00:00.0
1031,02,52.258155,21.059643,Wojnicka,2020-10-12 00:00:00.0
1031,03,52.258106,21.059661,Wojnicka,2020-10-12 00:00:00.0
1032,01,52.254576,21.044862,Targowa,2020-10-12 00:00:00.0
1032,02,52.253935,21.042536,Korsaka,2020-10-12 00:00:00.0
1032,52,52.254451,21.044743,Korsaka,2020-12-09 00:00:00.0
1033,01,52.256384,21.050026,Markowska,2020-10-12 00:00:00.0
1033,02,52.255108,21.048532,Śnieżna,2020-10-12 00:00:00.0
1034,01,52.259741,21.052788,Korsaka,2020-10-12 00:00:00.0
1034,02,52.258777,21.052190,Wołomińska,2020-10-12 00:00:00.0
1035,01,52.263438,21.057143,Wołomińska,2020-10-12 00:00:00.0
1035,02,52.263298,21.057105,Księcia Ziemowita,2020-10-12 00:00:00.0
1036,01,52.262169,21.063721,Księcia Ziemowita,2020-10-12 00:00:00.0
1036,02,52.261393,21.066248,Zabraniecka-Magazyny,2020-10-12 00:00:00.0
1036,03,52.261399,21.064340,Młyn Michla,2020-10-12 00:00:00.0
1037,01,52.261176,21.067406,Siarczana,2020-10-12 00:00:00.0
1037,02,52.260944,21.068113,Zabraniecka-Bocznica,2020-10-12 00:00:00.0
1038,01,52.260757,21.071933,Zabraniecka-Magazyny,2020-10-12 00:00:00.0
1038,02,52.260785,21.073665,Księżnej Anny,2020-10-12 00:00:00.0
1039,01,52.260909,21.075939,Zabraniecka-Bocznica,2020-10-12 00:00:00.0
1039,02,52.260617,21.077580,Matuszewska,2020-10-12 00:00:00.0
1039,03,52.261307,21.077520,Nieświeska,2020-10-12 00:00:00.0
1040,01,52.260428,21.083880,Księżnej Anny,2020-10-12 00:00:00.0
1040,02,52.260539,21.085718,Łubinowa,2020-10-12 00:00:00.0
1041,01,52.260747,21.087538,Matuszewska,2020-10-12 00:00:00.0
1041,02,52.260575,21.089473,Łubinowa,2020-10-12 00:00:00.0
1041,04,52.261372,21.088605,Utrata-Urząd Celny,2020-10-12 00:00:00.0
1042,01,52.260457,21.094609,Matuszewska,2020-10-12 00:00:00.0
1042,02,52.260275,21.096573,Utrata,2020-10-12 00:00:00.0
1043,01,52.260614,21.100661,Łubinowa,2020-10-12 00:00:00.0
1044,01,52.264701,21.093459,Matuszewska,2020-10-12 00:00:00.0
1044,02,52.264549,21.093224,Łubinowa,2020-10-12 00:00:00.0
1045,01,52.263725,21.063213,Zabraniecka,2020-10-12 00:00:00.0
1045,02,52.263887,21.063816,Hutnicza,2020-10-12 00:00:00.0
1046,01,52.265535,21.067592,Chemiczna,2020-10-12 00:00:00.0
1046,02,52.266190,21.069329,Rzeczna,2020-10-12 00:00:00.0
1047,01,52.267334,21.071830,Hutnicza,2020-10-12 00:00:00.0
1047,02,52.268134,21.074056,Bukowiecka,2020-10-12 00:00:00.0
1047,03,52.268438,21.072278,Radzymińska,2020-10-12 00:00:00.0
1047,04,52.267080,21.073577,Nieświeska,2020-10-12 00:00:00.0
1048,01,52.269907,21.077962,Rzeczna,2020-10-12 00:00:00.0
