Brigade,Destination,Time
4,os.Górczewska,05:21:00
6,os.Górczewska,05:51:00
1,os.Górczewska,06:09:00
2,os.Górczewska,06:24:00
3,os.Górczewska,06:40:00
07,os.Górczewska,06:56:00
4,os.Górczewska,07:11:00
5,os.Górczewska,07:27:00
6,os.Górczewska,07:41:00
08,os.Górczewska,07:57:00
1,os.Górczewska,08:12:00
2,os.Górczewska,08:27:00
3,os.Górczewska,08:42:00
07,os.Górczewska,08:57:00
4,os.Górczewska,09:17:00
5,os.Górczewska,09:36:00
6,os.Górczewska,09:56:00
1,os.Górczewska,10:16:00
2,os.Górczewska,10:36:00
3,os.Górczewska,10:56:00
4,os.Górczewska,11:16:00
5,os.Górczewska,11:36:00
6,os.Górczewska,11:56:00
1,os.Górczewska,12:16:00
2,os.Górczewska,12:36:00
3,os.Górczewska,12:56:00
4,os.Górczewska,13:16:00
5,os.Górczewska,13:36:00
6,os.Górczewska,13:56:00
1,os.Górczewska,14:16:00
2,os.Górczewska,14:36:00
3,os.Górczewska,14:53:00
4,os.Górczewska,15:07:00
07,os.Górczewska,15:22:00
5,os.Górczewska,15:37:00
6,os.Górczewska,15:52:00
08,os.Górczewska,16:07:00
1,os.Górczewska,16:22:00
2,os.Górczewska,16:37:00
3,os.Górczewska,16:52:00
4,os.Górczewska,17:07:00
07,os.Górczewska,17:22:00
5,os.Górczewska,17:37:00
6,os.Górczewska,17:52:00
08,os.Górczewska,18:07:00
1,os.Górczewska,18:22:00
2,os.Górczewska,18:37:00
3,os.Górczewska,18:57:00
4,os.Górczewska,19:16:00
5,os.Górczewska,19:36:00
6,os.Górczewska,19:56:00
1,os.Górczewska,20:16:00
2,os.Górczewska,20:36:00
3,os.Górczewska,20:56:00
4,os.Górczewska,21:16:00
5,os.Górczewska,21:36:00
6,os.Górczewska,21:56:00
2,os.Górczewska,22:21:00
3,os.Górczewska,22:51:00
4,os.Górczewska,23:19:00
2,os.Górczewska,23:49:00
3,os.Górczewska,00:19:00
