Brigade,Destination,Time
1,Torwar,05:24:00
3,Torwar,05:54:00
4,Torwar,06:27:00
6,Torwar,06:45:00
08,Torwar,07:03:00
1,Torwar,07:21:00
2,Torwar,07:40:00
3,Torwar,07:56:00
07,Torwar,08:11:00
4,Torwar,08:26:00
5,Torwar,08:41:00
6,Torwar,08:56:00
08,Torwar,09:10:00
1,Torwar,09:23:00
2,Torwar,09:37:00
3,Torwar,09:52:00
07,Torwar,10:07:00
4,Torwar,10:21:00
5,Torwar,10:41:00
6,Torwar,11:01:00
1,Torwar,11:21:00
2,Torwar,11:41:00
3,Torwar,12:01:00
4,Torwar,12:21:00
5,Torwar,12:41:00
6,Torwar,13:01:00
1,Torwar,13:21:00
2,Torwar,13:41:00
3,Torwar,14:01:00
4,Torwar,14:21:00
5,Torwar,14:41:00
6,Torwar,15:01:00
1,Torwar,15:22:00
2,Torwar,15:39:00
3,Torwar,15:54:00
4,Torwar,16:09:00
07,Torwar,16:24:00
5,Torwar,16:39:00
6,Torwar,16:54:00
08,Torwar,17:09:00
1,Torwar,17:24:00
2,Torwar,17:39:00
3,Torwar,17:54:00
4,Torwar,18:09:00
07,Torwar,18:24:00
5,Torwar,18:39:00
6,Torwar,18:54:00
08,Torwar,19:06:00
1,Torwar,19:24:00
2,Torwar,19:44:00
3,Torwar,20:04:00
4,Torwar,20:23:00
5,Torwar,20:43:00
6,Torwar,21:03:00
1,Torwar,21:20:00
2,Torwar,21:39:00
3,Torwar,21:59:00
4,Torwar,22:24:00
6,Torwar,22:54:00
