Brigade,Destination,Time
4,os.Górczewska,05:32:00
6,os.Górczewska,06:02:00
1,os.Górczewska,06:20:00
2,os.Górczewska,06:35:00
3,os.Górczewska,06:51:00
07,os.Górczewska,07:07:00
4,os.Górczewska,07:22:00
5,os.Górczewska,07:38:00
6,os.Górczewska,07:53:00
08,os.Górczewska,08:09:00
1,os.Górczewska,08:24:00
2,os.Górczewska,08:39:00
3,os.Górczewska,08:54:00
07,os.Górczewska,09:09:00
4,os.Górczewska,09:28:00
5,os.Górczewska,09:47:00
6,os.Górczewska,10:07:00
1,os.Górczewska,10:27:00
2,os.Górczewska,10:47:00
3,os.Górczewska,11:07:00
4,os.Górczewska,11:27:00
5,os.Górczewska,11:47:00
6,os.Górczewska,12:07:00
1,os.Górczewska,12:27:00
2,os.Górczewska,12:47:00
3,os.Górczewska,13:07:00
4,os.Górczewska,13:27:00
5,os.Górczewska,13:47:00
6,os.Górczewska,14:07:00
1,os.Górczewska,14:27:00
2,os.Górczewska,14:47:00
3,os.Górczewska,15:04:00
4,os.Górczewska,15:18:00
07,os.Górczewska,15:33:00
5,os.Górczewska,15:48:00
6,os.Górczewska,16:03:00
08,os.Górczewska,16:18:00
1,os.Górczewska,16:33:00
2,os.Górczewska,16:48:00
3,os.Górczewska,17:03:00
4,os.Górczewska,17:18:00
07,os.Górczewska,17:33:00
5,os.Górczewska,17:48:00
6,os.Górczewska,18:03:00
08,os.Górczewska,18:18:00
1,os.Górczewska,18:33:00
2,os.Górczewska,18:48:00
3,os.Górczewska,19:08:00
4,os.Górczewska,19:27:00
5,os.Górczewska,19:47:00
6,os.Górczewska,20:07:00
1,os.Górczewska,20:27:00
2,os.Górczewska,20:47:00
3,os.Górczewska,21:07:00
4,os.Górczewska,21:27:00
5,os.Górczewska,21:47:00
6,os.Górczewska,22:07:00
2,os.Górczewska,22:32:00
3,os.Górczewska,23:02:00
4,os.Górczewska,23:30:00
2,os.Górczewska,00:00:00
3,os.Górczewska,00:30:00
