Brigade,Destination,Time
4,os.Górczewska,05:22:00
6,os.Górczewska,05:52:00
1,os.Górczewska,06:10:00
2,os.Górczewska,06:25:00
3,os.Górczewska,06:41:00
07,os.Górczewska,06:57:00
4,os.Górczewska,07:12:00
5,os.Górczewska,07:28:00
6,os.Górczewska,07:43:00
08,os.Górczewska,07:59:00
1,os.Górczewska,08:14:00
2,os.Górczewska,08:29:00
3,os.Górczewska,08:44:00
07,os.Górczewska,08:59:00
4,os.Górczewska,09:18:00
5,os.Górczewska,09:37:00
6,os.Górczewska,09:57:00
1,os.Górczewska,10:17:00
2,os.Górczewska,10:37:00
3,os.Górczewska,10:57:00
4,os.Górczewska,11:17:00
5,os.Górczewska,11:37:00
6,os.Górczewska,11:57:00
1,os.Górczewska,12:17:00
2,os.Górczewska,12:37:00
3,os.Górczewska,12:57:00
4,os.Górczewska,13:17:00
5,os.Górczewska,13:37:00
6,os.Górczewska,13:57:00
1,os.Górczewska,14:17:00
2,os.Górczewska,14:37:00
3,os.Górczewska,14:54:00
4,os.Górczewska,15:08:00
07,os.Górczewska,15:23:00
5,os.Górczewska,15:38:00
6,os.Górczewska,15:53:00
08,os.Górczewska,16:08:00
1,os.Górczewska,16:23:00
2,os.Górczewska,16:38:00
3,os.Górczewska,16:53:00
4,os.Górczewska,17:08:00
07,os.Górczewska,17:23:00
5,os.Górczewska,17:38:00
6,os.Górczewska,17:53:00
08,os.Górczewska,18:08:00
1,os.Górczewska,18:23:00
2,os.Górczewska,18:38:00
3,os.Górczewska,18:58:00
4,os.Górczewska,19:17:00
5,os.Górczewska,19:37:00
6,os.Górczewska,19:57:00
1,os.Górczewska,20:17:00
2,os.Górczewska,20:37:00
3,os.Górczewska,20:57:00
4,os.Górczewska,21:17:00
5,os.Górczewska,21:37:00
6,os.Górczewska,21:57:00
2,os.Górczewska,22:22:00
3,os.Górczewska,22:52:00
4,os.Górczewska,23:20:00
2,os.Górczewska,23:50:00
3,os.Górczewska,00:20:00
