Brigade,Destination,Time
1,Torwar,05:15:00
3,Torwar,05:45:00
4,Torwar,06:17:00
6,Torwar,06:35:00
08,Torwar,06:53:00
1,Torwar,07:10:00
2,Torwar,07:26:00
3,Torwar,07:42:00
07,Torwar,07:57:00
4,Torwar,08:12:00
5,Torwar,08:27:00
6,Torwar,08:42:00
08,Torwar,08:57:00
1,Torwar,09:10:00
2,Torwar,09:24:00
3,Torwar,09:39:00
07,Torwar,09:54:00
4,Torwar,10:08:00
5,Torwar,10:28:00
6,Torwar,10:48:00
1,Torwar,11:08:00
2,Torwar,11:28:00
3,Torwar,11:48:00
4,Torwar,12:08:00
5,Torwar,12:28:00
6,Torwar,12:48:00
1,Torwar,13:08:00
2,Torwar,13:28:00
3,Torwar,13:48:00
4,Torwar,14:08:00
5,Torwar,14:28:00
6,Torwar,14:48:00
1,Torwar,15:08:00
2,Torwar,15:25:00
3,Torwar,15:40:00
4,Torwar,15:55:00
07,Torwar,16:10:00
5,Torwar,16:25:00
6,Torwar,16:40:00
08,Torwar,16:55:00
1,Torwar,17:10:00
2,Torwar,17:25:00
3,Torwar,17:40:00
4,Torwar,17:55:00
07,Torwar,18:10:00
5,Torwar,18:25:00
6,Torwar,18:40:00
08,Torwar,18:55:00
1,Torwar,19:13:00
2,Torwar,19:33:00
3,Torwar,19:53:00
4,Torwar,20:12:00
5,Torwar,20:32:00
6,Torwar,20:52:00
1,Torwar,21:11:00
2,Torwar,21:30:00
3,Torwar,21:50:00
4,Torwar,22:15:00
6,Torwar,22:45:00
2,Centrum,23:15:00
3,Centrum,23:45:00
