Brigade,Destination,Time
4,os.Górczewska,04:54:00
6,os.Górczewska,05:24:00
1,os.Górczewska,05:42:00
2,os.Górczewska,05:56:00
3,os.Górczewska,06:11:00
07,os.Górczewska,06:27:00
4,os.Górczewska,06:42:00
5,os.Górczewska,06:56:00
6,os.Górczewska,07:10:00
08,os.Górczewska,07:25:00
1,os.Górczewska,07:40:00
2,os.Górczewska,07:55:00
3,os.Górczewska,08:10:00
07,os.Górczewska,08:25:00
4,os.Górczewska,08:45:00
5,os.Górczewska,09:06:00
6,os.Górczewska,09:26:00
1,os.Górczewska,09:46:00
2,os.Górczewska,10:06:00
3,os.Górczewska,10:26:00
4,os.Górczewska,10:46:00
5,os.Górczewska,11:06:00
6,os.Górczewska,11:26:00
1,os.Górczewska,11:46:00
2,os.Górczewska,12:06:00
3,os.Górczewska,12:26:00
4,os.Górczewska,12:46:00
5,os.Górczewska,13:06:00
6,os.Górczewska,13:26:00
1,os.Górczewska,13:46:00
2,os.Górczewska,14:06:00
3,os.Górczewska,14:23:00
4,os.Górczewska,14:36:00
07,os.Górczewska,14:50:00
5,os.Górczewska,15:03:00
6,os.Górczewska,15:18:00
08,os.Górczewska,15:33:00
1,os.Górczewska,15:47:00
2,os.Górczewska,16:02:00
3,os.Górczewska,16:17:00
4,os.Górczewska,16:32:00
07,os.Górczewska,16:47:00
5,os.Górczewska,17:02:00
6,os.Górczewska,17:17:00
08,os.Górczewska,17:32:00
1,os.Górczewska,17:48:00
2,os.Górczewska,18:03:00
3,os.Górczewska,18:23:00
4,os.Górczewska,18:44:00
5,os.Górczewska,19:07:00
6,os.Górczewska,19:27:00
1,os.Górczewska,19:47:00
2,os.Górczewska,20:07:00
3,os.Górczewska,20:27:00
4,os.Górczewska,20:47:00
5,os.Górczewska,21:08:00
6,os.Górczewska,21:28:00
2,os.Górczewska,21:53:00
3,os.Górczewska,22:23:00
4,os.Górczewska,22:53:00
