Brigade,Destination,Time
4,os.Górczewska,04:57:00
6,os.Górczewska,05:27:00
1,os.Górczewska,05:45:00
2,os.Górczewska,05:59:00
3,os.Górczewska,06:14:00
07,os.Górczewska,06:30:00
4,os.Górczewska,06:45:00
5,os.Górczewska,06:59:00
6,os.Górczewska,07:13:00
08,os.Górczewska,07:28:00
1,os.Górczewska,07:43:00
2,os.Górczewska,07:58:00
3,os.Górczewska,08:13:00
07,os.Górczewska,08:28:00
4,os.Górczewska,08:48:00
5,os.Górczewska,09:09:00
6,os.Górczewska,09:29:00
1,os.Górczewska,09:49:00
2,os.Górczewska,10:09:00
3,os.Górczewska,10:29:00
4,os.Górczewska,10:49:00
5,os.Górczewska,11:09:00
6,os.Górczewska,11:29:00
1,os.Górczewska,11:49:00
2,os.Górczewska,12:09:00
3,os.Górczewska,12:29:00
4,os.Górczewska,12:49:00
5,os.Górczewska,13:09:00
6,os.Górczewska,13:29:00
1,os.Górczewska,13:49:00
2,os.Górczewska,14:09:00
3,os.Górczewska,14:26:00
4,os.Górczewska,14:39:00
07,os.Górczewska,14:53:00
5,os.Górczewska,15:06:00
6,os.Górczewska,15:21:00
08,os.Górczewska,15:36:00
1,os.Górczewska,15:50:00
2,os.Górczewska,16:05:00
3,os.Górczewska,16:20:00
4,os.Górczewska,16:35:00
07,os.Górczewska,16:50:00
5,os.Górczewska,17:05:00
6,os.Górczewska,17:20:00
08,os.Górczewska,17:35:00
1,os.Górczewska,17:51:00
2,os.Górczewska,18:06:00
3,os.Górczewska,18:26:00
4,os.Górczewska,18:47:00
5,os.Górczewska,19:10:00
6,os.Górczewska,19:30:00
1,os.Górczewska,19:50:00
2,os.Górczewska,20:10:00
3,os.Górczewska,20:30:00
4,os.Górczewska,20:50:00
5,os.Górczewska,21:11:00
6,os.Górczewska,21:31:00
2,os.Górczewska,21:56:00
3,os.Górczewska,22:26:00
4,os.Górczewska,22:56:00
